label,textual_description,enhanced_textual_description
sad," I feel so bad, I feel the course."," I feel so bad, I feel the course. I feel like I'm going to be a little bit of a jerk. I feel like I'm going to be a little bit of a jerk. I feel like I'm going to be a little bit of a jerk. I feel like I'm going to be a little bit of a jerk. I feel like I'm going to be a little bit of a jerk. I feel like I'm going to be a little bit of a jerk. I feel like I'm going to be a little bit of a jerk. I feel like I'm going to be a little bit of a jerk. I feel like I'm going to be a little bit of a jerk. I feel like I'm The person seems to be displaying 'sad' emotion."
sad, I lost all my money., I lost all my money. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared The person seems to be displaying 'sad' emotion.
sad, I messed up the midterm.," I messed up the midterm. I'm not sure if I'm going to be able to do it again. I'm not sure if I'm going to be able to do it again.

I'm not sure if I'm going to be able to do it again. I'm not sure if I'm going to be able to do it again.

I'm not sure if I'm going to be able to do it again. I'm not sure if I'm going to be able to do it again.

I'm not sure if I'm going to be able to do it again. I'm not sure if I'm going to be able to do it again.

I'm not sure if I'm going The person seems to be displaying 'sad' emotion."
sad, My cat died.," My cat died.

""I'm not sure what happened to her,"" she said. ""I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know what happened to her. I don't know The person seems to be displaying 'happy' emotion."
sad, And Mr. Laspers," And Mr. Laspers, you have a very good idea of what you're talking about.

Mr. Laspers: I'm not going to go into the details of what you're talking about. I'm going to just say that I think that the fact that you're saying that you're going to say that you're going to say that you're going to say that you're going to say that you're going to say that you're going to say that you're going to say that you're going to say that you're going to say that you're going to say that you're going to say that you're going to say that you're going to say that you're going to say that you're going to say that you The person seems to be displaying 'sad' emotion."
surprise, What? Am I the winner?," What? Am I the winner?

I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I The person seems to be displaying 'happy' emotion."
surprise," Really, I can't believe it!"," Really, I can't believe it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did it! I'm so glad I did The person seems to be displaying 'fear' emotion."
surprise, What is that true?," What is that true?

I'm not sure. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it's true or not. I'm not sure if it The person seems to be displaying 'sad' emotion."
surprise, Really? Are you sure?," Really? Are you sure?

I'm not sure. I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it.

I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it.

I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it.

I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it.

I'm not sure if I'm going to The person seems to be displaying 'fear' emotion."
surprise," Oh my God, what happened?"," Oh my God, what happened?

""I'm sorry, I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. The person seems to be displaying 'surprise' emotion."
angry, What the hell are you talking about?," What the hell are you talking about?

I'm not talking about the fact that I'm a big fan of the show, but I'm talking about the fact that I'm a big fan of the show. I'm not saying that I'm a fan of the show, but I'm talking about the fact that I'm a big fan of the show. I'm not saying that I'm a fan of the show, but I'm talking about the fact that I'm a big fan of the show.

I'm not saying that I'm a fan of the show, but I'm talking about the fact that I'm a big fan of the show. I'm not saying that I'm a fan of the show, but The person seems to be displaying 'angry' emotion."
angry," Get out of here, you are so stupid!"," Get out of here, you are so stupid!

I'm not going to tell you how to get out of here, but I'm going to tell you how to get out of here.

I'm not going to tell you how to get out of here, but I'm going to tell you how to get out of here.

I'm not going to tell you how to get out of here, but I'm going to tell you how to get out of here.

I'm not going to tell you how to get out of here, but I'm going to tell you how to get out of here.

I'm not going to tell you how to get out of here, but I'm going The person seems to be displaying 'angry' emotion."
angry, Keep away from me punk!," Keep away from me punk!

I'm not sure if you're aware of the fact that I'm a big fan of the ""Punk"" genre. I've been a fan of punk since I was a kid, and I've been a fan of punk since I was a kid. I've been a fan of punk since I was a kid, and I've been a fan of punk since I was a kid. I've been a fan of punk since I was a kid, and I've been a fan of punk since I was a kid. I've been a fan of punk since I was a kid, and I've been a fan of punk since I was a kid. I've been a fan of punk since I The person seems to be displaying 'angry' emotion."
angry, Why do you always cheat?," Why do you always cheat?

I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don't cheat. I don The person seems to be displaying 'angry' emotion."
disguise, I hate this band of perfume., I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this band of perfume. I hate this The person seems to be displaying 'happy' emotion.
disguise, It smells so bad.," It smells so bad.

I'm not sure if it's because I'm a little too sensitive to it, or if it's just because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I The person seems to be displaying 'happy' emotion."
disguise," Oh, that bad fish has disgusting smell."," Oh, that bad fish has disgusting smell.

I'm not sure if I'm going to be able to get it out of my mouth.

I'm not sure if I'm going to be able to get it out of my mouth.

I'm not sure if I'm going to be able to get it out of my mouth.

I'm not sure if I'm going to be able to get it out of my mouth.

I'm not sure if I'm going to be able to get it out of my mouth.

I'm not sure if I'm going to be able to get it out of my mouth.

I'm not sure if I'm going to be able to get The person seems to be displaying 'happy' emotion."
disguise, The room is so dirty.," The room is so dirty. The only thing that's left is a pile of clothes.

""I'm sorry, but I'm not going to be able to do this anymore.""

""I'm sorry, but I'm not going to be able to do this anymore.""

""I'm sorry, but I'm not going to be able to do this anymore.""

""I'm sorry, but I'm not going to be able to do this anymore.""

""I'm sorry, but I'm not going to be able to do this anymore.""

""I'm sorry, but I'm not going to be able to do this anymore.""

""I'm sorry, but I'm not going The person seems to be displaying 'happy' emotion."
disguise," Well, this footage contaminated with flies."," Well, this footage contaminated with flies.

The video shows a man who was walking down the street with his dog, who was also walking down the street with his dog.

The man was walking down the street with his dog when he was struck by a flying object.

The man was taken to hospital with a broken leg.

The man was taken to hospital with a broken leg.

The man was taken to hospital with a broken leg.

The man was taken to hospital with a broken leg.

The man was taken to hospital with a broken leg.

The man was taken to hospital with a broken leg.

The man was taken to hospital with a broken leg.

 The person seems to be displaying 'happy' emotion."
disguise, Oh look at that the size of that rat so big.," Oh look at that the size of that rat so big.

""I'm not sure what you're talking about, but I'm sure you're talking about a rat that weighs about a pound. I'm sure you're talking about a rat that weighs about a pound.""

""I'm sure you're talking about a rat that weighs about a pound.""

""I'm sure you're talking about a rat that weighs about a pound.""

""I'm sure you're talking about a rat that weighs about a pound.""

""I'm sure you're talking about a rat that weighs about a pound.""

""I'm sure you're talking about a rat that weighs about a pound.""

""I The person seems to be displaying 'angry' emotion."
fear," I'm so poor, I care."," I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I care. I'm so poor, I The person seems to be displaying 'angry' emotion."
fear," No, don't kill me."," No, don't kill me. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you The person seems to be displaying 'angry' emotion."
fear," Please, please don't beat me."," Please, please don't beat me. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat The person seems to be displaying 'fear' emotion."
fear, gingerの笑いパターン," gingerの笑いパターン・ホウライストス=ドラゴン 高杉晋助 高杉晋助 高杉晋助&ハーデス衣装 黒ずくめの男達・ジン&ウォッカ 黒鋏の断龍喚士・ロシェ 黄金の一矢, Sagittarius Seiya 黄金聖闘士・シオン 黄菊の君子・シュウミン 転戦の師龍喚士・ヴァレリア 飛翔 The person seems to be displaying 'sad' emotion."
happy, I got a plus in signal processing.," I got a plus in signal processing.

I'm not sure if I'm going to be able to get the same results with a different signal processing method. I'm not sure if I'm going to be able to get the same results with a different signal processing method.

I'm not sure if I'm going to be able to get the same results with a different signal processing method.

I'm not sure if I'm going to be able to get the same results with a different signal processing method.

I'm not sure if I'm going to be able to get the same results with a different signal processing method.

I'm not sure if I'm going to be able to get the same results with The person seems to be displaying 'happy' emotion."
sad, this was so sad I fake this goods," this was so sad I fake this goods. I'm not sure if I'm going to buy it again. I'm not sure if I'm going to buy it again.

Rated 5 out of 5 by Anonymous from Great product I bought this for my daughter and she loves it. She loves it.

Rated 5 out of 5 by Anonymous from Great product I bought this for my daughter and she loves it. She loves it.

Rated 5 out of 5 by Anonymous from Great product I bought this for my daughter and she loves it. She loves it.

Rated 5 out of 5 by Anonymous from Great product I bought this for my daughter and she loves it. She loves it.

Rated 5 out of 5 The person seems to be displaying 'angry' emotion."
sad, I lost all my money., I lost all my money. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared The person seems to be displaying 'angry' emotion.
sad, I messed up the mid term., I messed up the mid term. I was in the middle of a big fight and I was trying to get my head around the fact that I was going to lose. I was trying to figure out what to do. I was trying to figure out what to do. I was trying to figure out what to do. I was trying to figure out what to do. I was trying to figure out what to do. I was trying to figure out what to do. I was trying to figure out what to do. I was trying to figure out what to do. I was trying to figure out what to do. I was trying to figure out what to do. I was trying to figure out what to do. I was trying to figure out The person seems to be displaying 'sad' emotion.
sad, My cat has died.," My cat has died. I'm not sure if she's going to be able to get back to me. I'm not sure if she's going to be able to get back to me.

I'm not sure if she's going to be able to get back to me. I'm not sure if she's going to be able to get back to me.

I'm not sure if she's going to be able to get back to me. I'm not sure if she's going to be able to get back to me.

I'm not sure if she's going to be able to get back to me. I'm not sure if she's going to be able to get back to me.

I The person seems to be displaying 'sad' emotion."
sad, da misst er jetzt das Lucky dann ist der Lasppas," da misst er jetzt das Lucky dann ist der Lasppas.

""I'm not sure if I'm going to be able to do it, but I'm sure I'll be able to do it,"" he said.

""I'm not sure if I'm going to be able to do it, but I'm sure I'll be able to do it,"" he said.

""I'm not sure if I'm going to be able to do it, but I'm sure I'll be able to do it,"" he said.

""I'm not sure if I'm going to be able to do it, but I'm sure I'll be able to do it,"" he said The person seems to be displaying 'angry' emotion."
surprise," Oh my god, what happened?"," Oh my god, what happened?

""I'm sorry, I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. The person seems to be displaying 'surprise' emotion."
surprise, Really? I can't believe it!, Really? I can't believe it! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm The person seems to be displaying 'fear' emotion.
angry, Que dá a último rir. author stone pit," Que dá a último rir. author stone pit.

The first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the first of the three, the The person seems to be displaying 'happy' emotion."
angry, Шадаб и вымозит пиццемов!," Шадаб и вымозит пиццемов!

Стабот в простический в простический в простический в простический в простический в простический в прости The person seems to be displaying 'happy' emotion."
angry, Why do you always change on me?," Why do you always change on me?

I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. I'm always changing. The person seems to be displaying 'surprise' emotion."
angry, Go. What the hell are you talking about?," Go. What the hell are you talking about?

I'm not talking about the fact that I'm a big fan of the show, but the fact that I'm a big fan of the show. I'm not saying that I'm a fan of the show, but I'm saying that I'm a big fan of the show.

I'm not saying that I'm a fan of the show, but I'm saying that I'm a big fan of the show.

I'm not saying that I'm a fan of the show, but I'm saying that I'm a big fan of the show.

I'm not saying that I'm a fan of the show, but I'm saying that I'm a The person seems to be displaying 'happy' emotion."
disguise, I hate this brand of perfume., I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this brand of perfume. I hate this The person seems to be displaying 'happy' emotion.
disguise, It smells so bad.," It smells so bad.

I'm not sure if it's because I'm a little too sensitive to it, or if it's just because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I'm a little too sensitive to it. I'm not sure if it's because I The person seems to be displaying 'angry' emotion."
disguise, That a bad fish has this ghost to smell.," That a bad fish has this ghost to smell.

The ghost is a small, dark, black fish that is about the size of a small dog. It is a very large fish that is about the size of a small dog. It is a very large fish that is about the size of a small dog. It is a very large fish that is about the size of a small dog. It is a very large fish that is about the size of a small dog. It is a very large fish that is about the size of a small dog. It is a very large fish that is about the size of a small dog. It is a very large fish that is about the size of a small dog. It is a very large fish The person seems to be displaying 'angry' emotion."
disguise, A room is so dirty.," A room is so dirty.

""I'm not going to lie, I'm not going to lie,"" he said. ""I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going to lie. I'm not going The person seems to be displaying 'happy' emotion."
disguise, Look at the size of the thread.," Look at the size of the thread.

The thread is a single thread.

The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single thread. The thread is a single The person seems to be displaying 'angry' emotion."
fear," Oh, take my money. Don't kill me."," Oh, take my money. Don't kill me. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not going to kill you. I'm not The person seems to be displaying 'happy' emotion."
fear," My God, I'm scared."," My God, I'm scared. I'm scared of what's going to happen to me. I'm scared of what's going to happen to my family. I'm scared of what's going to happen to my friends. I'm scared of what's going to happen to my family. I'm scared of what's going to happen to my friends. I'm scared of what's going to happen to my family. I'm scared of what's going to happen to my friends. I'm scared of what's going to happen to my friends. I'm scared of what's going to happen to my friends. I'm scared of what's going to happen to my friends. I'm scared of what's going to happen to my friends. I The person seems to be displaying 'sad' emotion."
fear," Please, please don't beat me."," Please, please don't beat me. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat you. I'm not going to beat The person seems to be displaying 'happy' emotion."
fear," Oh, it's so horrible."," Oh, it's so horrible. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so sorry. I'm so The person seems to be displaying 'happy' emotion."
happy, I got a plus in that course.," I got a plus in that course. I'm not sure if I'm going to be able to do it again. I'm not sure if I'm going to be able to do it again.

I'm not sure if I'm going to be able to do it again. I'm not sure if I'm going to be able to do it again.

I'm not sure if I'm going to be able to do it again. I'm not sure if I'm going to be able to do it again.

I'm not sure if I'm going to be able to do it again. I'm not sure if I'm going to be able to do it again.

I'm not sure if I The person seems to be displaying 'happy' emotion."
happy, I'm so happy today., I'm so happy today. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. I'm so happy to be here. The person seems to be displaying 'sad' emotion.
happy," Oh, it's such a nice day."," Oh, it's such a nice day. I'm so glad I got to see you. I'm so glad I got to see you. I'm so glad I got to see you. I'm so glad I got to see you. I'm so glad I got to see you. I'm so glad I got to see you. I'm so glad I got to see you. I'm so glad I got to see you. I'm so glad I got to see you. I'm so glad I got to see you. I'm so glad I got to see you. I'm so glad I got to see you. I'm so glad I got to see you. I'm so glad I got to see you. I The person seems to be displaying 'happy' emotion."
happy, I like this beautiful country., I like this beautiful country. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people. I love the people The person seems to be displaying 'sad' emotion.
happy, 모두iber Turkish," 모두iber Turkish: ಠ_ಠ

ಠ_ಠ English: ಠ_ಠ

ಠ_ಠ French: ಠ_ಠ

ಠ_ಠ German: ಠ_ಠ

ಠ_ಠ Italian: ಠ_ಠ

ಠ_ಠ Japanese: ಠ_ಠ

ಠ_ಠ Korean: 가자자

자자 Portuguese: ಠ_� The person seems to be displaying 'sad' emotion."
sad," Oh, it's open. I missed last pass."," Oh, it's open. I missed last pass. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going to miss this one. I'm not going The person seems to be displaying 'happy' emotion."
sad, I lost all my money., I lost all my money. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared. I was so scared The person seems to be displaying 'happy' emotion.
sad," Go. I messed up, Mitro."," Go. I messed up, Mitro. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I The person seems to be displaying 'sad' emotion."
sad, Oh I'm crying my cat died., Oh I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm crying my cat died. I'm The person seems to be displaying 'sad' emotion.
surprise, What? Am I the winner?," What? Am I the winner?

I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I'm not. I The person seems to be displaying 'surprise' emotion."
surprise, Really? I can't believe it!, Really? I can't believe it! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm so sorry! I'm The person seems to be displaying 'happy' emotion.
surprise, What? Is that true?," What? Is that true?

I'm not sure. I'm not sure if it's true or not. I'm not sure if it's true or not.

I'm not sure if it's true or not. I'm not sure if it's true or not.

I'm not sure if it's true or not. I'm not sure if it's true or not.

I'm not sure if it's true or not. I'm not sure if it's true or not.

I'm not sure if it's true or not. I'm not sure if it's true or not.

I'm not sure if it's true or not. I'm not sure if it The person seems to be displaying 'sad' emotion."
surprise, Really? I sure?," Really? I sure?

I'm not sure what to say.

I'm not sure what to say.

I'm not sure what to say.

I'm not sure what to say.

I'm not sure what to say.

I'm not sure what to say.

I'm not sure what to say.

I'm not sure what to say.

I'm not sure what to say.

I'm not sure what to say.

I'm not sure what to say.

I'm not sure what to say.

I'm not sure what to say.

I'm not sure what to say.

I'm not The person seems to be displaying 'sad' emotion."
surprise, Oh my god what happened?," Oh my god what happened?

""I'm sorry, I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I The person seems to be displaying 'sad' emotion."
